CAG,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
36,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,9.5,9.5,9.5,9.5,9.5,7,7,7,7,7,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8.5,8.5,8.5,8.5,8.5,9.5,9.5,9.5,9.5,9.5,7.5,7.5,7.5,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,11,11,11,11,11,NA,NA,NA,NA,NA
39,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,9.5,9.5,9.5,9.5,9.5,7,7,7,7,7,8,8,8,8,8
40,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
41,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,3,3,3,3,3,5.5,5.5,5.5,5.5,5.5
42,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,3.5,3.5,3.5,3.5,3.5,1,1,1,1,1,4,4,4,4,4
43,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,6.5,6.5,6.5,6.5,6.5
44,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,7.5,7.5,7.5
45,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,8,8,8,8,8,5,5,5,5,5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,2,2,2,2,2,3,3,3,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,13,13,13,13,13,11,11,11,11,11,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,1,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,13,13,13,13,13,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,13,13,13,13,13,6,6,6,6,6,6,6,6,6,6,4.5,4.5,4.5,4.5,4.5,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,13,13,13,13,13,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,4,4,4,4,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,11,11,11,11,11,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
